Rolled 2, 4, 3, 6, dropping 2; score: 13
Rolled 2, 4, 4, 1, dropping 1; score: 10
Rolled 2, 4, 4, 2, dropping 2; score: 10
Rolled 2, 4, 4, 3, dropping 2; score: 11
Rolled 2, 4, 4, 4, dropping 2; score: 12
Rolled 2, 4, 4, 5, dropping 2; score: 13
Rolled 2, 4, 4, 6, dropping 2; score: 14
Rolled 2, 4, 5, 1, dropping 1; score: 11
Rolled 2, 4, 5, 2, dropping 2; score: 11
Rolled 2, 4, 5, 3, dropping 2; score: 12
Rolled 2, 4, 5, 4, dropping 2; score: 13
Rolled 2, 4, 5, 5, dropping 2; score: 14
Rolled 2, 4, 5, 6, dropping 2; score: 15
Rolled 2, 4, 6, 1, dropping 1; score: 12
Rolled 2, 4, 6, 2, dropping 2; score: 12
Rolled 2, 4, 6, 3, dropping 2; score: 13
Rolled 2, 4, 6, 4, dropping 2; score: 14
Rolled 2, 4, 6, 5, dropping 2; score: 15
Rolled 2, 4, 6, 6, dropping 2; score: 16
Rolled 2, 5, 1, 1, dropping 1; score: 8
Rolled 2, 5, 1, 2, dropping 1; score: 9
Rolled 2, 5, 1, 3, dropping 1; score: 10
Rolled 2, 5, 1, 4, dropping 1; score: 11
Rolled 2, 5, 1, 5, dropping 1; score: 12
Rolled 2, 5, 1, 6, dropping 1; score: 13
Rolled 2, 5, 2, 1, dropping 1; score: 9
Rolled 2, 5, 2, 2, dropping 2; score: 9
Rolled 2, 5, 2, 3, dropping 2; score: 10
Rolled 2, 5, 2, 4, dropping 2; score: 11
Rolled 2, 5, 2, 5, dropping 2; score: 12
Rolled 2, 5, 2, 6, dropping 2; score: 13
Rolled 2, 5, 3, 1, dropping 1; score: 10
Rolled 2, 5, 3, 2, dropping 2; score: 10
Rolled 2, 5, 3, 3, dropping 2; score: 11
Rolled 2, 5, 3, 4, dropping 2; score: 12
Rolled 2, 5, 3, 5, dropping 2; score: 13
Rolled 2, 5, 3, 6, dropping 2; score: 14
Rolled 2, 5, 4, 1, dropping 1; score: 11
Rolled 2, 5, 4, 2, dropping 2; score: 11
Rolled 2, 5, 4, 3, dropping 2; score: 12
Rolled 2, 5, 4, 4, dropping 2; score: 13
Rolled 2, 5, 4, 5, dropping 2; score: 14
Rolled 2, 5, 4, 6, dropping 2; score: 15
Rolled 2, 5, 5, 1, dropping 1; score: 12
Rolled 2, 5, 5, 2, dropping 2; score: 12
Rolled 2, 5, 5, 3, dropping 2; score: 13
Rolled 2, 5, 5, 4, dropping 2; score: 14
Rolled 2, 5, 5, 5, dropping 2; score: 15
Rolled 2, 5, 5, 6, dropping 2; score: 16
Rolled 2, 5, 6, 1, dropping 1; score: 13
Rolled 2, 5, 6, 2, dropping 2; score: 13
Rolled 2, 5, 6, 3, dropping 2; score: 14
Rolled 2, 5, 6, 4, dropping 2; score: 15
Rolled 2, 5, 6, 5, dropping 2; score: 16
Rolled 2, 5, 6, 6, dropping 2; score: 17
Rolled 2, 6, 1, 1, dropping 1; score: 9
Rolled 2, 6, 1, 2, dropping 1; score: 10
Rolled 2, 6, 1, 3, dropping 1; score: 11
Rolled 2, 6, 1, 4, dropping 1; score: 12
Rolled 2, 6, 1, 5, dropping 1; score: 13
Rolled 2, 6, 1, 6, dropping 1; score: 14
Rolled 2, 6, 2, 1, dropping 1; score: 10
Rolled 2, 6, 2, 2, dropping 2; score: 10
Rolled 2, 6, 2, 3, dropping 2; score: 11
Rolled 2, 6, 2, 4, dropping 2; score: 12
Rolled 2, 6, 2, 5, dropping 2; score: 13
Rolled 2, 6, 2, 6, dropping 2; score: 14
Rolled 2, 6, 3, 1, dropping 1; score: 11
Rolled 2, 6, 3, 2, dropping 2; score: 11
Rolled 2, 6, 3, 3, dropping 2; score: 12
Rolled 2, 6, 3, 4, dropping 2; score: 13
Rolled 2, 6, 3, 5, dropping 2; score: 14
Rolled 2, 6, 3, 6, dropping 2; score: 15
